year,above_lonesome,below_lonesome,total_spawn,survey_mode,est_method,Residency,Reliability,flag/follow-up,source-and-notes-original,Data_source_KM,NuSEDs_SEN_status,NuSEDs_SIL_status,Other_KM_comments
1987,17550,13230,30780,foot,,,,,"Atnarko Sockeye Binder and BC16 Historic // Neither (Escapement Records had N/R for Cascade which in RMS was 3 and RMS 55593 wrong b/c of rounding on Bella Coola); Stillwater to Lonesome- est. 5,000 and above Lonesome est. 17,100.  BC16 Historic has a count Sept 20 that had 100 obs and 600 Est below Stillwater to Fisheries Pool.  Assumed 22,100 expanded to 25K for the annual estimate.  Used the ratios to determine ocean vs. lake types.",,,,
1988,26500,3500,30000,foot,,,,,"BC16 Historic // RMS and Escapement Records; BC16 Historic obs 30,281",,,,
1989,6000,9000,15000,foot,,,,,"Atnarko Sockeye Binder and BC16 Historic // Escapement Records (RMS 29327 wrong b/c missed 10 Atn Sp Ch and 1 Cascade); BC16 Historic obs 15,009",,,,
1990,19097,903,20000,foot_boat,,,,,Atnarko Sockeye Binder (Bella Coola Office) // RMS and Escapement Records; Total of counts came to 14059. I assumed this number expanded to 20K.   I used the obs #  to determine expansions to each section inspected to come up with ocean vs. lake types,,,,
1991,37288,15212,52500,foot_boat ,HERE,,,,Atnarko Sockeye Binder (Bella Coola Office) // RMS and Escapement Records,,,,
1992,37014,3986,41000,foot,peak,,medium (3),,"Atnarko Sockeye Binder (Bella Coola Office) // RMS and Escapement Records; If sum live + dead but from records was actually 41,139.","Total Est. Nuseds. Information in ATN sox binder escapement record scans. Above Elbow (L 606 31 D), Above Rainbow (L162, 8D)- I think includes lakeshore spawners, Above Tenas (L784 D8), Above Lonesome (L35000, D 508) - includes Tenas lake outlet, Above Stillwater (L3500 0D). Stillwater Lake (L500, D 0) ",Estimate present in BCR (not Atnarko). No details listed.,Not present,Combined holding fish from Stillwater lake into below Stillwater estimate. Breakouts by live+dead estimate totals. 
1993,,,15000,unk,peak,,medium (3),,Escapement Records (RMS 29682 wrong b/c didn't add in Quatlena Sk),"Total Est. Nuseds and RMS. Limited information found in Atnarko sockeye binder scans. ""sockeye in lakes"" implies estimate was a total. Changed SCR estimate from Above Lonesome to only total",Estimate present in BCR (not Atnarko). No details listed.,Not present,Could not find any breakout information anywhere. Survey mode was listed as 1. I believe that corresponds to foot but change in record format is noted here.
1994,9131,15869,25000,foot_boat,peak,NA,NA,,"Atnarko Sockeye Binder (Bella Coola Office)  // RMS and Escapement Records; Expanded from a count of 20,482 to 25,000 on fish observed holding in Stillwater Lake that were not enumerated.","total Est. Nuseds. Flight information in ATN sox binder escapement record scans. 13,000 holding in Stillwater, 1 Above Stillwater, 6622 above Lonesome, 664 Tenas outlet, Above Tenas 119",Estimate present in BCR (not Atnarko). No details listed.,Not present,expansions based on holding sockeye. Seemed appropriate given proximity. Included dead in ratios. 
1995,40000,15000,55000,helicopter,peak,NA,high,,Atnarko Sockeye Binder (Bella Coola Office) // RMS and Escapement Records,"total Est. Nuseds. Flight information in ATN sox binder escapement record scans. 15,000 Above Stillwater, 39,000 Above Lonesome, 900 above Tenas, 20 Above Rainbow, 100 Above Elbow Lake",Estimate present in BCR (not Atnarko). No details listed.,Not present,Lake spawners were counted and included in total between lake spawner counts in the write up (cannot be separated). 
1996,45000,,45000,helicopter,peak,NA,medium (3),FLAG,RMS and Escapement Records,Total Est Nuseds. Minimal info found in paper copy. No further details on flight info. ,Estimate present in BCR (not Atnarko). No details listed.,Not present," Suspicious of the breakout. I believe the estimate is for the total river not for Above Lonesome, however left as Matt/Steve populated for now. "
1997,12425,7575,20000,helicopter,peak,NA,NA,,Atnarko Sockeye Binder (Bella Coola Office) // Escapement Records (RMS had 25300 as total Area 8 Sk),total Est. Nuseds. Flight information in ATN sox binder escapement record scans,Estimate present in BCR (not Atnarko). No details listed.,Not present,Peak count occurred Sept 22 (a few days earlier). Estimated observed only 75% of sockeye. Above Stillwater 5500 live and 500 dead. 9500 live Above Lonesome. 40 Tenas outlet. 140 Above Tenas. 40 Above Rainbow lake. 120 Above Elbow lake. Appears no survey of the lake shores.
1998,7215,22785,30000,helicopter,peak,NA,,,Electronic BC16 Historic // RMS and Escapement Records. ,unclear where Steve/Matt found breakout information.  No details found in Atnarko Sockeye/BCR inspection scans or RMS,Total estimate present in BCR (not Atnarko). No details listed.,,
1999,6250,18750,25000,fixed_wing,,,,,Steve: Electronic BC16 Historic // RMS and Escapement Records; BC16 had 5k above Lonesome and 15k below so expanded these using 25k annual estimate. KM could not track these numbers down. Found notes estimate derived using 2 overflights.,unclear where Steve/Matt found breakout information.  No details found in Atnarko Sockeye/BCR inspection scans or RMS,Total estimate present in BCR (not Atnarko). No details listed.,Not present,
2000,3281,11719,15000,unk,peak,,,,"Steve's notes: Electronic BC16 Historic // Escapement Records (RMS had 25290 as total Area 8 Sk); From flight 2000 above Lonesome, 800 in Lonesome (south end- assumed going u/s), and 10000 between Stillwater and Lonesome.  Estimate was 15k for the season, so expanded counts accordingly.  Wally Webber also estimated 1000 between Line Cabin and Belarko and 300 between Campsite and Fisheries Pool- I don't know if these factored into the estimate?",unclear where Steve/Matt found breakout information.  No details found in Atnarko Sockeye/BCR inspection scans or RMS,Total estimate present in BCR (not Atnarko). No details listed.,Not present,
2001,4000,26000,30000,unk,Unk,,,,"Electronic BC16 Historic // Escapement Records (note from Steve/Matt: RMS had 31150 as total Area 8 Sk)-> RMS lists escapement as 30,000. No information found on breakouts",unclear where Steve/Matt found breakout information.  No details found in Atnarko Sockeye/BCR inspection scans or RMS,Total estimate present in BCR (not Atnarko). No details listed.,Not present,
2002,10000,40000,50000,fixed_wing,peak,NA,,,Electronic BC16 Historic // RMS and Escapement Records. No information avaliable about where breakout between spawning locations came from.,unclear where Steve/Matt found breakout information.  No details found in Atnarko Sockeye/BCR inspection scans or RMS,Total estimate present in BCR (not Atnarko). No details listed.,Not present,
2003,3000,15000,18000,fixed_wing,peak,NA,,follow-up,Atnarko Sockeye Binder (Bella Coola Office) // RMS and Escapement Records. ,"Survey appears to have included areas above Tenas and Rainbow, however scan is blocked off. Two fixed wing flights.",Total estimate present in BCR (not Atnarko). No details listed.,Not present,Check historical BC16s in online access format and ATN sox paper box
2004,9000,16000,25000,fixed_wing,peak,NA,,,2004 BC16 Electronic // RMS and Escapement Records. No information avaliable about where breakout between spawning locations came from.,,Total estimate present in BCR (not Atnarko). No details listed.,Not present,
2005,3000,3000,6000,fixed_wing,peak,NA,,,2005 BC16 Electronic // RMS and Escapement Records. No information avaliable about where breakout between spawning locations came from.,,Total estimate present in BCR (not Atnarko). No details listed.,Not present,
2006,4000,2000,6000,fixed_wing,peak,NA,,,"2006 BC16 Electronic // RMS and Escapement Records; Stillwater 1,500 and above Lonesome 3,000.  Annual estimate was 6,000.  Lake vs. ocean type determined based on ratios.",,Total estimate present in BCR (not Atnarko). No details listed.,Not present,
2007,,,1200,foot,peak,NA,,follow-up,"Source: RMS. Two fixed wing flights and a peak walk. The peak flight and peak walk occurred on the same day. Sept 27.  No breakouts provided, will require SIL review for # inspections",,Total estimate present in BCR (not Atnarko). No details listed.,Not present,Uncertain will be able to populate
2008,,,900,foot,peak,NA,,follow-up,"Source: NuSeds notes. Heli count occurred in same year, however estimate from foot count was reported. Did not check Above Elbow Lake. Breakout will require SIL review.",,No escapement estimate in Nuseds but notes and SILs present,Present,Uncertain will be able to populate
2009,,,3500,helicopter+foot,peak,,,follow-up,"Source: Number comes from RMS and PSR. One heli inspection and one foot inspection (Below Elbow Lake and Above Stillwater Lake). Confident at least 3000 sockeye spawned, perhaps 4000 from below Elbow Lake to Stillwater. ",,No escapement estimate in Nuseds but notes and SILs present,Present,Uncertain will be able to populate
2010,,,2300,heli,peak/expertO,NA,,follow-up,Source: number RMS and PSR. Guess on method. Max count entered into Nuseds stream inspections is 400-500 above Stillwater and 1500-2000 Above Lonesome (total 2200). Other sections not inspected.  ,,No escapement estimate in Nuseds but notes and SILs present,Present,Uncertain will be able to populate
2011,647,853,1500,heli_foot,peak/expertO,NA,,,"Source: number comes from RMS and PSR. Breakdown notes documented in Nuseds, however do not document expansion of ~70%. Estimate derived from peak heli count and 1 ground survey Above Stillwater Lake.  KM took total estimate and portioned out by section using ratio of total counts * estimate. Above Lonesome- 430+ 10 Above Rainbow, 580 Above Stillwater. No sockeye seen in other spawning areas.",,No escapement estimate in Nuseds but notes and SILs present,Present,
2012,700,2400,3100,heli,AUC,15 and 20,,follow-up,NUSEDS: AUC separate for Stillwater and Lonesome (no sockeye seen elsewhere)- 15 residency for Stillwater and 20-days for lonesome.  Original estimate was for 3000. Estimate changed to equal true total,,No escapement estimate in Nuseds but details on surveys present.,Present,may be worth re-doing estimates? Different residency times applied compared to standard 12.
2013,703,669,1500,heli,peaklive,NA,,,"PSR and RMS list 1,500 for total estimate.  NUSEDs desc provides peak count of 1372 sockeye. Estimate left as is and used ratios of returns/total by area. Counts  from peak count of each area using 2 flights. Used 100 fish seen in Rainbow Lake from previous survey for totals (others from same flight). Appears to not include dead in counts.  Appears reliability not assigned to final estmate. ",,No escapement estimate in Nuseds but details on surveys present in ATN R. Estimate present in BCR.,Present,see SILs for reliability
2014,1050,1324,2500,helicopter,peaklive,NA,NA,,BC16 Steve Cox-Rogers Sept 2014 Totals for Upper above and below: get the breakout for columns B and C,Total count summed to larger than estimate (2550 versus 2500). Corrected estimate to true total. Peak appeared to only cover live estimate not dead.,No escapement estimate in ATN but details on surveys present. BCR contains estimate,,
2015,4017,3483,7500,helicopter,peak,NA,NA,,BC16 Steve Cox-Rogers Sept 2015 Totals for Upper above and below: get the breakout for columns B and C,"unknown source of original estimate listed in this dataset (11,194 sockeye). PSR document lists 7,500 sockeye. SILs in Nuseds appear that estimate was made by a single expanded survey. Changed to estimate listed in PSR and used portions from single flight of dead+live to get portions",No escapement estimate in Nuseds but details on surveys present.,Present,
2016,3319,1331,"4,650",helicopter,unk,,,FLAG,BC16 Steve Cox-Rogers Sept 2016 Totals for Upper above and below: get the breakout for columns B and C,"Km changed from 6940 from original dataset to match the PSR and RMS (4,650 estimate).  Applied totals from peak count to get breakouts by area. Unclear on method applied to derive estimate. Listed 20 fish seen Above Lonesome redds to 'end'. Unclear where that was. No further resolution avaliable. Suspect AUC applied with unknown residency or OE expansion. ",No escapement estimate in Nuseds.,Present,maybe worthwhile redoing estimate? Unclear on methods
2017,2259,1059,3318,helicopter,AUC,15,,FLAG/follow-up,"KM changed 5,224 to 3318 as listed in AUC on stock drive. Estimate is for Above Stillwater lake and Lonesome Lake only. No clarity on where 5,224 came from. Entered in Nuseds as 3400. ","Sils In NUSEDs found for breakout. Only recorded counts for Above Stillwater and Above Lonesome redds, However final escapement estimate notes survey included to top of Elbow spawning area. Used flight Sept 20th for Above Lonesome  (1600) and Above Stillwater (750) breakouts. Flight on Sept 27th only contained data for a total estimate of both areas (1950). ",Escapement estimate present as rounded number (3400) but no details.,Present,re-do estimate?  Inconsistent method applied (AUC = weird Residency time. ). Relocate  AUC on STAD drive. 
2018,4760,2978,7738,helicopter,AUC,12,,,Nuseds Estimate and SILs. AUC for Above Stillwater to knot lakes,"Peak count on Oct 10 for Above Lonesome (2886) and Above Stillwater (1824). Zero socekye seen in all other areas except Sept 26th: Tenas outlet (1), Rainbow shore (29 est). Used these for breakouts. Only Live count numbers provided. ",present,Present,
2019,4256,276,4598,helicopter,AUC,12,,,Nuseds SIL and escapement estimate noes used. - AUC for Above Stillwater to knot lakes (4598). ,"Oct 10 Above Stillwater Peak (276), Above Lonesome sept 17 (3437) no sockeye seen anywhere else during all surveys. NOTE different peak dates applied. Ratio between total sum used.",present,Present,
2020,,,8427,helicopter,AUC,12,,FLAG,NUSEDs- AUC for Above Stillwater(8427) to knot lakes. Peak foot estimate same index area derived but not entered into Nuseds(5201)- I don't think it was used in the estimate.,,present,,re-visit estimate. Multiple estimates that don't match. 
2021,,,5927.5,helicopter+foot,?,?,,FLAG,Very confusing year. Estimate in PSR differs from that listed in Stock drive substantially and that listed in this dataset. (for helicopter-based AUC 7763 Above Stillwater and beyond) and  peak live+dead foot walk (4092). ,,No escapement estimate in Nuseds.,,re-visit estimate. Multiple estimates that don't match. 
2022,,,6501,helicopter+foot,AUC,12,,FLAG,DFO Stock Drive Visual surveys- Above Stillwater to knot lakes (6501) peak live count 3641. ,,No escapement estimate in Nuseds.,,re-visit estimate. Due to no BIOL this year.
2023,,,8710,helicopter+foot,AUC,12,,follow-up,estimates broken down into Above Stillwater ( flights+ walk - 8710) and Below Stillwater only.,,present,,re-visit breakout
2024,6607,4937,11544,helicopter+foot,AUC,12,medium,,"Estimate details extracted from SILs and estimate pulled from NuSEDS /final report. Note: Peak count of Above Stillwater was Oct 3 (2700 est. live only). Peak from Above Lonesome and above all came from foot surveys on Sept 25th (live +dead). Included counted sockeye from Above Rainbow (40), Above Elbow (1), and Above Tenas (3)",,present,Present,
2025,8599,5627,14226,helicopter+foot,AUC,12,medium,follow-up,"Source: BC16s/final report. Peak walks used included live plus dead. Summed Above Lonesome (Sept 25: ) Above Tenas (Sept 19), Sept 25 (Above Elbow, Above Rainbow, Tenas outlet). Above Stillwater sum included live and dead plus 50 fish holding in Stillwater lake on Sept 25th",,present,Present,
